Series Name	Series Code	Time	Time Code	World	Guinea	Liberia 	United States	Sierra Leone
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2010	YR2010	4.298923039	4.813362961	6.099827602	2.563766559	5.346466052
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2011	YR2011	3.132980367	5.61210719	8.20076584	1.550835506	6.315045036
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2012	YR2012	2.507633769	5.915288139	7.993815693	2.249545852	15.18176908
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2013	YR2013	2.654362447	3.945685431	8.704028066	1.842081071	20.71576829
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2014	YR2014	2.833184774	3.696541182	0.701143912	2.451973035	4.556772366
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2015	YR2015	2.857940944	3.825922386	0	2.880910466	-20.59877072
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2016	YR2016	2.584034628	10.82062122	-1.599584075	1.56721517	6.055474029
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2017	YR2017	3.188584759	10.30000083	2.468626095	2.21701033	4.211182649
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2018	YR2018	3.052659227	6.163853325	1.222551313	2.927322728	3.446162621
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	2019	YR2019	..	..	..	..	..
								
								
								
Data from database: World Development Indicators								
Last Updated: 04/09/2020								
